ep 2,780,000 | ε=0.0500 | buf=50,000 | loss=0.00880 | 146 ep/s
ep 2,790,000 | ε=0.0500 | buf=50,000 | loss=0.00818 | 146 ep/s
ep 2,800,000 | ε=0.0500 | buf=50,000 | loss=0.00302 | 146 ep/s
ep 2,810,000 | ε=0.0500 | buf=50,000 | loss=0.00653 | 146 ep/s
ep 2,820,000 | ε=0.0500 | buf=50,000 | loss=0.00665 | 146 ep/s
ep 2,830,000 | ε=0.0500 | buf=50,000 | loss=0.00652 | 146 ep/s
ep 2,840,000 | ε=0.0500 | buf=50,000 | loss=0.00577 | 146 ep/s
ep 2,850,000 | ε=0.0500 | buf=50,000 | loss=0.00586 | 146 ep/s
ep 2,860,000 | ε=0.0500 | buf=50,000 | loss=0.00510 | 146 ep/s
ep 2,870,000 | ε=0.0500 | buf=50,000 | loss=0.01001 | 146 ep/s
ep 2,880,000 | ε=0.0500 | buf=50,000 | loss=0.00629 | 146 ep/s
ep 2,890,000 | ε=0.0500 | buf=50,000 | loss=0.00988 | 146 ep/s
ep 2,900,000 | ε=0.0500 | buf=50,000 | loss=0.00578 | 146 ep/s
ep 2,910,000 | ε=0.0500 | buf=50,000 | loss=0.00960 | 146 ep/s
ep 2,920,000 | ε=0.0500 | buf=50,000 | loss=0.00739 | 146 ep/s
ep 2,930,000 | ε=0.0500 | buf=50,000 | loss=0.00696 | 146 ep/s
ep 2,940,000 | ε=0.0500 | buf=50,000 | loss=0.01058 | 146 ep/s
ep 2,950,000 | ε=0.0500 | buf=50,000 | loss=0.00657 | 146 ep/s
ep 2,960,000 | ε=0.0500 | buf=50,000 | loss=0.00559 | 146 ep/s
ep 2,970,000 | ε=0.0500 | buf=50,000 | loss=0.01326 | 146 ep/s
ep 2,980,000 | ε=0.0500 | buf=50,000 | loss=0.00584 | 146 ep/s
ep 2,990,000 | ε=0.0500 | buf=50,000 | loss=0.00810 | 146 ep/s
  [ep 3,000,000] new best eval profit: 1557.5
ep 3,000,000 | ε=0.0500 | buf=50,000 | loss=0.00668 | 146 ep/s

Final eval profit (greedy, 200 runs): 1417.8
Models saved to runs/tron2_envc_s8_v1par/
